"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 285, 0, 0, 0, 5, 12, 302
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/language-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 9, 31
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 350, 0, 0, 0, 13, 23, 386
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/product-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 129, 0, 0, 0, 1, 7, 137
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/product-image-gallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 155, 0, 0, 0, 3, 14, 172
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/product-specifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 9, 69
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 8, 61
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 127, 0, 0, 0, 0, 15, 142
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 7, 60
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 11, 116
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 9, 80
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 232, 0, 0, 0, 0, 31, 263
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 327, 0, 0, 0, 2, 37, 366
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 0, 18, 154
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 0, 19, 201
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 14, 98
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 14, 119
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 0, 19, 201
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 0, 26, 179
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 7, 30
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 9, 72
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 217, 0, 0, 0, 0, 20, 237
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 13, 123
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 11, 118
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 6, 49
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 0, 15, 161
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 16, 110
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 697, 0, 0, 0, 12, 55, 764
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
